Date,INVE-A.ST,INVE-B.ST
2022-05-04,181.13446044921875,168.40264892578125
2022-05-05,179.14866638183594,166.81446838378906
2022-05-06,175.9808349609375,163.3545379638672
2022-05-09,171.01629638671875,159.25177001953125
2022-05-10,172.6238555908203,160.36724853515625
2022-05-11,176.21722412109375,163.61923217773438
2022-05-12,176.07537841796875,162.29574584960938
2022-05-13,180.42527770996094,166.30401611328125
2022-05-16,180.0942840576172,165.4342803955078
2022-05-17,183.1202850341797,168.0623321533203
2022-05-18,179.76333618164062,165.01834106445312
2022-05-19,179.19595336914062,163.60032653808594
2022-05-20,182.22195434570312,165.3019256591797
2022-05-23,185.72073364257812,167.24932861328125
2022-05-24,184.96426391601562,166.7955780029297
2022-05-25,181.2763214111328,164.8670654296875
2022-05-26,181.2763214111328,164.8670654296875
2022-05-27,189.40869140625,172.751220703125
2022-05-30,193.94769287109375,176.11660766601562
2022-05-31,192.62380981445312,173.01589965820312
2022-06-01,190.3543243408203,171.10630798339844
2022-06-02,192.52926635742188,173.9423065185547
2022-06-03,192.62380981445312,173.4129638671875
2022-06-06,192.62380981445312,173.4129638671875
2022-06-07,195.83895874023438,175.98423767089844
2022-06-08,193.94769287109375,174.90658569335938
2022-06-09,188.27395629882812,169.971923828125
2022-06-10,184.0186309814453,166.60650634765625
2022-06-13,182.17465209960938,164.7158203125
2022-06-14,178.8177032470703,161.53948974609375
2022-06-15,184.1132049560547,165.869140625
2022-06-16,177.11557006835938,159.23287963867188
2022-06-17,175.03518676757812,158.0984649658203
2022-06-20,175.2243194580078,157.89048767089844
2022-06-21,175.88626098632812,157.9849853515625
2022-06-22,174.7042236328125,158.0228271484375
2022-06-23,172.86026000976562,156.548095703125
2022-06-24,172.86026000976562,156.548095703125
2022-06-27,179.5269317626953,162.93858337402344
2022-06-28,177.39927673339844,161.16134643554688
2022-06-29,175.6498565673828,160.2349090576172
2022-06-30,173.66403198242188,158.987060546875
2022-07-01,175.83897399902344,160.48068237304688
2022-07-04,176.45364379882812,162.08778381347656
2022-07-05,175.50802612304688,160.80213928222656
2022-07-06,180.94537353515625,165.66116333007812
2022-07-07,183.92405700683594,168.61062622070312
2022-07-08,186.19357299804688,170.104248046875
2022-07-11,184.96426391601562,168.25137329101562
2022-07-12,189.12501525878906,171.20086669921875
2022-07-13,186.42999267578125,167.94888305664062
2022-07-14,184.82240295410156,167.40057373046875
2022-07-15,182.08009338378906,163.94065856933594
2022-07-18,185.15338134765625,166.43634033203125
2022-07-19,185.4843292236328,167.32493591308594
2022-07-20,184.4441680908203,166.4552459716797
2022-07-21,187.94297790527344,172.0138397216797
2022-07-22,188.98316955566406,173.0537109375
2022-07-25,188.7940216064453,172.52432250976562
2022-07-26,185.38980102539062,169.42359924316406
2022-07-27,185.342529296875,169.8017578125
2022-07-28,189.0304412841797,172.2974395751953
2022-07-29,196.7845916748047,178.47994995117188
2022-08-01,193.8531494140625,176.26788330078125
2022-08-02,190.8271484375,172.71339416503906
2022-08-03,192.43467712402344,174.73643493652344
2022-08-04,192.52926635742188,174.79312133789062
2022-08-05,188.17938232421875,171.5411834716797
2022-08-08,191.7727508544922,175.53048706054688
2022-08-09,186.33541870117188,170.63365173339844
2022-08-10,189.07772827148438,174.3960723876953
2022-08-11,188.22665405273438,173.6020050048828
2022-08-12,186.3826904296875,173.4507598876953
2022-08-15,187.8956756591797,175.07672119140625
2022-08-16,189.6923828125,176.45693969726562
2022-08-17,187.6120147705078,174.30154418945312
2022-08-18,189.07772827148438,176.24896240234375
2022-08-19,185.57891845703125,173.3184051513672
2022-08-22,183.0257110595703,170.46348571777344
2022-08-23,178.77041625976562,167.02244567871094
2022-08-24,179.43235778808594,167.41949462890625
2022-08-25,181.18174743652344,169.291259765625
2022-08-26,176.21722412109375,164.6968994140625
2022-08-29,175.7444305419922,163.9784698486328
2022-08-30,175.50802612304688,163.88394165039062
2022-08-31,168.13214111328125,159.4786376953125
2022-09-01,166.09901428222656,156.85060119628906
2022-09-02,170.92173767089844,161.84197998046875
2022-09-05,169.40870666503906,160.8966522216797
2022-09-06,168.79408264160156,160.6319580078125
2022-09-07,167.23379516601562,159.59210205078125
2022-09-08,168.69947814941406,161.3693389892578
2022-09-09,171.67822265625,163.8461151123047
2022-09-12,174.98789978027344,166.90899658203125
2022-09-13,172.24557495117188,163.8271942138672
2022-09-14,169.78700256347656,161.8230743408203
2022-09-15,171.20542907714844,163.0331268310547
2022-09-16,166.28817749023438,160.5563201904297
2022-09-19,167.1392364501953,160.10256958007812
2022-09-20,163.49855041503906,156.07542419433594
2022-09-21,164.77517700195312,157.75811767578125
2022-09-22,160.51986694335938,153.18267822265625
2022-09-23,158.81771850585938,151.85922241210938
2022-09-26,158.0612335205078,150.76260375976562
2022-09-27,159.33782958984375,152.29408264160156
2022-09-28,163.12033081054688,154.9977264404297
2022-09-29,158.3449249267578,150.2899627685547
2022-09-30,162.2219696044922,154.63853454589844
2022-10-03,164.16050720214844,156.51028442382812
2022-10-04,169.64511108398438,161.5773162841797
2022-10-05,168.08485412597656,159.78115844726562
2022-10-06,168.03756713867188,160.2160186767578
2022-10-07,162.6475067138672,154.7330322265625
2022-10-10,160.1416015625,152.23736572265625
2022-10-11,159.8106231689453,152.55877685546875
2022-10-12,159.14869689941406,152.29408264160156
2022-10-13,162.17471313476562,155.20570373535156
2022-10-14,161.70187377929688,155.20570373535156
2022-10-17,166.42999267578125,160.48068237304688
2022-10-18,170.73260498046875,164.41331481933594
2022-10-19,168.60494995117188,161.84197998046875
2022-10-20,167.84844970703125,161.766357421875
2022-10-21,167.84844970703125,161.7096405029297
2022-10-24,171.7727813720703,166.37962341308594
2022-10-25,177.162841796875,171.3332061767578
2022-10-26,177.39927673339844,171.08738708496094
2022-10-27,176.69004821777344,170.29330444335938
2022-10-28,178.06118774414062,171.6356964111328
2022-10-31,177.68295288085938,170.5012969970703
2022-11-01,178.1084747314453,170.38784790039062
2022-11-02,176.6427459716797,169.763916015625
2022-11-03,174.8933563232422,168.42156982421875
2022-11-04,178.2685546875,171.8820037841797
2022-11-07,178.6488800048828,171.9390411376953
2022-11-08,182.40440368652344,175.22837829589844
2022-11-09,182.26177978515625,175.07627868652344
2022-11-10,191.6743621826172,183.9936065673828
2022-11-11,192.6251220703125,183.63232421875
2022-11-14,191.10391235351562,182.66265869140625
2022-11-15,190.91375732421875,182.3013916015625
2022-11-16,187.01559448242188,180.0007781982422
2022-11-17,187.49099731445312,180.19088745117188
2022-11-18,189.20237731933594,182.0352020263672
2022-11-21,186.92054748535156,181.3317108154297
2022-11-22,189.7252960205078,182.60562133789062
